x,y
321804,5702965
320053,5703476
321245,5702621
320889,5702580
321479,5703592
320574,5703262
321562,5704291
320512,5702985
320242,5702722
321829,5704132
321839,5704117
321559,5702595
321777,5704083
320082,5703721
321365,5703527
320892,5702889
321503,5703984
321803,5703891
321568,5704121
320848,5703830
320706,5703035
321503,5703399
320548,5703332
321124,5703033
321587,5704106
321482,5703987
321340,5703091
321304,5703486
321767,5703894
320713,5703406
321627,5703144
321295,5702323
321431,5703551
320223,5704020
320168,5704017
320329,5703295
320577,5703460
320299,5704202
320514,5702928
321457,5702901
320714,5702780
321218,5702821
320207,5703551
320573,5703405
321294,5702300
321597,5704168
320455,5703738
321017,5702509
320566,5703558
321692,5703778
320233,5703397
321078,5702874
320881,5703351
320850,5704284
320436,5703824
320474,5703077
321483,5702512
321366,5703459
321677,5704207
320052,5703451
320788,5702562
321715,5703625
321601,5704284
321748,5702526
320751,5703053
321836,5703825
321531,5703431
321006,5703295
320433,5703207
321154,5702982
320122,5703162
320729,5702894
321216,5703820
320161,5703981
320413,5702523
321331,5702402
320913,5702519
320814,5702656
321804,5703895
321596,5703352
320339,5703728
321580,5703653
320029,5703666
320935,5702302
320761,5702604
321500,5702992
320372,5702955
321605,5703307
319946,5704217
321066,5702417
320190,5703182
321327,5703240
320302,5703906
321177,5704064
321280,5702425
321441,5704183
320432,5703254
319941,5703406
320029,5704272
320838,5703492
321403,5704056
320284,5702578
321818,5702812
321683,5703797
321851,5703629
320172,5703930
321721,5702770
319995,5702649
321761,5702485
321722,5702525
320428,5702302
320451,5703356
321676,5703205
321347,5703573
320468,5703801
320536,5702978
321012,5703701
321379,5704157
320490,5703585
321253,5703854
320079,5704195
320539,5703689
321850,5704242
321023,5702721
321193,5702777
321564,5704010
320167,5703256
320516,5703976
319993,5702582
320611,5703267
320450,5704037
320516,5703048
319926,5702981
320889,5702572
321547,5702787
320776,5702582
321220,5702747
321354,5703787
321651,5703026
320790,5702537
321081,5703301
320203,5702492
321503,5703525
321069,5702594
320836,5703480
320272,5702900
321624,5703135
320736,5704077
320884,5702517
321212,5703025
320925,5703143
319938,5703883
321528,5703131
321400,5703494
319917,5703080
320827,5703112
321876,5703308
319888,5703763
321065,5702629
320171,5704288
320843,5703670
321182,5704101
320829,5702644
321406,5703688
320684,5703919
321307,5703014
321651,5703642
319940,5704127
320416,5704207
321373,5703599
321506,5702603
321013,5704261
320730,5703048
320136,5702897
321280,5702815
319919,5702792
321771,5702777
320462,5703608
320787,5703520
320848,5702607
320125,5704207
321790,5704031
320308,5702588
321043,5702998
321237,5704112
320700,5703928
319918,5703412
321548,5702360
321318,5704016
320231,5702450
320349,5702441
320101,5703682
321387,5702920
320009,5703647
321205,5702574
321488,5703052
321786,5702974
320052,5704080
321127,5703310
320919,5702531
321201,5702663
319997,5704022
320759,5703519
320736,5703379
321731,5702957
320650,5702809
321811,5703079
320436,5703016
321543,5703130
320474,5703834
320926,5703044
320506,5704258
320359,5702375
321426,5703449
320234,5703192
320317,5704182
321677,5702925
320907,5702776
321056,5702938
320102,5703793
321601,5703126
321769,5704133
320682,5704286
320708,5702516
321528,5702448
320572,5704159
321011,5702912
321346,5704059
320916,5702460
319944,5702952
320090,5703206
320292,5702636
320283,5702723
321360,5704234
321827,5703146
320397,5703418
320512,5702406
321304,5702363
320629,5703882
319925,5702699
320961,5703366
320359,5703423
321241,5702612
320557,5702423
320736,5704062
320523,5703374
320262,5703170
320293,5702584
320068,5703651
320555,5704269
320170,5702666
320510,5703559
320583,5703114
320618,5702919
321579,5702852
320105,5703498
321863,5702873
319967,5702637
320174,5702968
320863,5703022
321214,5702837
320823,5702761
320218,5703984
321678,5703741
320311,5702660
321349,5702452
321564,5702909
320615,5703807
321038,5703603
320981,5703311
321256,5702894
320385,5704195
321663,5703618
320261,5702822
319932,5703019
321361,5704015
321591,5704169
321015,5703377
320750,5703471
321644,5703735
321871,5702607
320829,5702999
321068,5702943
320242,5703968
320201,5702548
321581,5703519
320399,5703682
321650,5704164
321154,5703764
321433,5703431
321511,5704048
321829,5703811
320871,5702574
321540,5703049
321588,5702924
321866,5703228
321446,5703831
321552,5702791
320050,5702580
320472,5703570
320478,5702932
321634,5704252
321340,5702514
320773,5703310
321032,5703353
321386,5704084
321356,5703198
321040,5703397
321608,5702374
320184,5703063
320000,5702753
320753,5703358
320592,5702966
320211,5704037
321181,5702532
320426,5704122
320191,5703911
321199,5703300
321341,5703254
320324,5702743
321700,5703210
321141,5703886
321138,5703386
319937,5703869
321550,5703653
321081,5703384
320518,5703816
319905,5703324
321231,5703328
321387,5703345
320107,5703222
321604,5702886
320229,5702784
320495,5702415
321115,5703922
320863,5702743
321631,5703935
321449,5702835
320313,5703420
321873,5703239
320058,5703564
320598,5703643
320602,5702549
321123,5702761
321658,5702939
320351,5704075
320133,5703296
321692,5702649
320653,5702579
321567,5702372
321723,5702774
321387,5703879
321322,5702773
320840,5702537
321108,5702409
321765,5703638
320797,5703511
320604,5704128
320834,5703033
319912,5703806
320611,5703719
321432,5703209
321777,5703018
321570,5703921
319984,5703355
321222,5702939
321827,5703269
319882,5703080
320766,5703409
321472,5703486
321103,5703046
320453,5702503
321824,5703973
320411,5703006
320794,5703010
320505,5704126
320422,5703039
320525,5702331
321763,5702527
321446,5703489
320073,5704056
320602,5702786
320006,5703391
321577,5702565
320133,5702930
321768,5703045
321685,5703175
321064,5702996
321605,5702299
321764,5703720
320568,5702903
320075,5703072
321475,5704274
321033,5703313
320965,5703651
320615,5703700
321849,5702442
320629,5703943
321196,5702336
321817,5704205
320771,5703229
321782,5704068
320381,5702554
321511,5703932
321692,5703910
320389,5704234
320166,5702393
320995,5703566
321775,5704103
321223,5703413
321432,5702329
320262,5703249
321539,5702960
320799,5704252
320318,5703552
319890,5702318
319934,5703821
320660,5702953
321782,5703488
321334,5702383
320100,5703884
320552,5703118
321051,5703169
320677,5703168
321001,5702439
321565,5702635
320352,5702645
321692,5702628
320464,5702581
321844,5702890
320228,5702820
320056,5704176
321440,5702914
321800,5702874
320510,5702336
320589,5703591
321143,5704191
321294,5703385
320365,5704264
321386,5703277
320499,5703321
321681,5703353
321374,5702513
320400,5702387
321431,5703520
321502,5703036
321107,5703618
321601,5703423
320584,5704197
321124,5702843
321116,5702849
321259,5703567
321339,5702434
321383,5703748
319985,5703722
320075,5703733
320619,5702767
320008,5703258
321436,5702454
320744,5702814
321141,5703923
320208,5704017
320454,5703760
319892,5703856
319932,5703821
321549,5702405
321450,5703503
321751,5703616
320589,5702810
320157,5703734
320136,5703214
320569,5702882
321843,5703128
321485,5703599
320023,5702525
320055,5702581
321277,5704078
320087,5702560
321789,5704207
320925,5702509
320525,5703341
320271,5702649
321761,5703309
319896,5703246
321093,5702489
320012,5702425
321133,5703512
320267,5703364
320882,5702617
320208,5702468
320111,5702447
320509,5704144
321487,5702487
321431,5702965
321505,5703525
320748,5703696
321296,5703934
321407,5703537
320488,5702346
321533,5703992
321426,5702824
320148,5703505
320883,5702912
320185,5703824
321491,5703955
320680,5702576
320308,5704189
320530,5702947
321727,5703461
321121,5704250
319946,5703442
320121,5702767
320502,5703321
321701,5702441
321281,5702731
320163,5704135
321719,5702441
320694,5703787
321385,5702849
320787,5702452
320780,5702633
321181,5703906
321240,5703566
321350,5703967
320905,5703490
320966,5702888
320085,5703408
320183,5703758
321538,5704069
321686,5702893
320328,5703415
321622,5702376
320452,5703159
321825,5703283
321175,5703436
321704,5702541
321240,5704279
320366,5703301
321870,5702414
321759,5702829
321485,5704271
321795,5703432
321248,5702712
321109,5703059
321362,5702809
320577,5703140
320238,5704072
320241,5703986
320563,5702434
320498,5703852
321196,5702494
320888,5703639
321426,5702327
320721,5703483
321440,5703228
321705,5703590
321504,5702586
320567,5703234
320475,5703885
320990,5702973
320491,5702741
321663,5702631
321380,5704153
320121,5704191
320622,5702864
321315,5704214
319889,5703439
320301,5703120
320778,5703255
321179,5703363
321206,5702706
320017,5704026
321679,5703740
319984,5703335
321207,5702884
320316,5703657
320614,5704186
320242,5703868
320689,5703640
319898,5703240
321083,5702815
321872,5703121
321622,5703104
321475,5702645
320941,5703618
321832,5702416
321111,5703853
320180,5702588
320401,5703701
320549,5702528
320864,5703126
321095,5702390
321849,5703071
321792,5704185
320356,5703068
320423,5703240
321632,5703057
320526,5702663
319980,5703779
321141,5703523
321850,5703444
320716,5703981
321042,5703065
320995,5703713
321283,5704300
320463,5703865
320813,5703339
321537,5702663
320102,5703500
321574,5702818
320639,5703780
321835,5704174
320521,5703285
321077,5703515
319907,5702769
321324,5702855
321183,5702901
320401,5703992
320545,5703931
321280,5703085
320303,5703387
321763,5703384
321171,5704037
320777,5702557
321630,5702354
320180,5703755
320468,5703546
320562,5703795
320214,5703706
320582,5702773
321805,5703481
320709,5703832
320279,5703301
321435,5702728
320521,5703685
320056,5704150
321602,5703099
321741,5702473
321849,5702491
320131,5704252
319935,5703765
320670,5703079
321457,5703369
320072,5703084
321356,5703032
